Query	UserId	ChatsQuantity	BotAnswer	BotHelp	Lenth
справочник 1 квартал 2024	21470897	1	0	0	4
Какой штраф за баланс?	4657767	1	0	0	4
фз-125 от 26.09.1997 г	1561253	1	0	0	4
можно ли пересдать баланс	13897330	1	0	0	4
от артема с любовью	840957	1	0	0	4
Нужен профстандарт сварщика, актуальный	21029657	1	0	0	4
налог на усн изменение	21400590	1	0	0	4
отчетность за 1 кв.2024	21310309	1	0	0	4
Отчетность за 1 квартал	19671766	1	0	0	4
6 ндфл поле 130	4503184	1	0	0	4
это совсем не то	201605	1	0	0	4
отчетность за первый квартал	21768737	1	0	0	4
как считать привес свиней	6563158	1	0	0	4
патент он должен предъявить?	17432719	1	0	0	4
"""Это совсем не то"	6229014	1	0	0	4
изменения с апреля налоги	7621855	1	0	0	4
Извините, отвлекли. За ИП	15768159	1	0	0	4
справочник 1 кв 2024	4398492	1	0	0	4
отчетность за 1 кв.2024	12505919	1	0	0	4
в календаре бухгалтера ошибка	545566	1	0	0	4
задать вопрос налоговому консультанту	14024885	1	0	0	4
как оформить возврат документарно	7791634	1	0	0	4
Добрый день. Вопрос экспертам	387343	1	0	0	4
добрый день! подскажите пожалуйста	20286579	1	0	0	4
сроки отчетность сельского хозяйства	21663307	1	0	0	4
наставничество доплата новый законопроект	1543120	1	0	0	4
то есть не надо?	2903566	1	0	0	4
какая сейчас редакция отчета 6-НДФЛ?	17729127	1	0	0	5
Как проходит камеральная проверка деклараций	6806031	1	0	0	5
добрый день! у нас вопрос	2814108	1	0	0	5
экспортный контракт с иностранным ИП	21490413	1	0	0	5
типовая форма м 16 ?	7791634	1	0	0	5
Добрый день! на ответ Выше:	4494649	1	0	0	5
штраф за несвоевременно представленный баланс	9848685	1	0	0	5
Здраствуйте. Что означает ОКВЭД 41.20	5962458	1	0	0	5
Спасибо за помощь! Звездочек нет.	5962458	1	0	0	5
Здравствуйте, как установить разряды сварщиков?	21029657	1	0	0	5
районный коэфицентн ХМАо Г. Нягань	19148284	1	0	0	5
кто должен составлять профессиональное суждение?	19111301	1	0	0	5
справочник 1 квартал 2024 года	1813430	1	0	0	5
код ОКВЭД Услуги психологической консультации?	1561253	1	0	0	5
регламент мероприятий по закрытию квартала	15870861	1	0	0	5
yfdbufnjh gj 6 ylak 2024	5302521	1	0	0	5
экспорт, новое с 2023 года	2501636	1	0	0	5
что относится к электромонтажным работам	560081	1	0	0	5
Если мы в реестре ОПК?	18780800	1	0	0	5
Оплата коммунальных счетов , проводка	21768227	1	0	0	5
Возможна ли выплата дивидендов ежеквартально?	2279418	1	0	0	5
эцп была выпущена на соискателя	180806	1	0	0	5
cghfdjxybr 1 rdfhnfk 2024 ujlf	20183949	1	0	0	5
Добрый день! Авансовый отчет(командировка), пошагово	681114	1	0	0	5
когда самозанятый должен выписать чек	2501636	1	0	0	5
как получить счет на подписку?	433493	1	0	0	5
нужно ли переоценивать валютную дебиторку?	458023	1	0	0	5
да, передайте наш вопрос экспертам	17637411	1	0	0	5
Какие документы необходимы для бизнеса	21776921	1	0	0	5
списание претензии на внереализационные расходы	5271655	1	0	0	5
В каких случаях обязателень аудит?	181642	1	0	0	5
добрый день! у нас вопрос	2814108	1	0	0	5
Добрый день! Как списать прицеп?	4846160	1	0	0	5
аванс от покупателя поступил 16.02.2024.	2900813	1	0	0	5
Хорошо, согласна ждать 24 часа	175740	1	0	0	5
ип зарегистрирован в мае 2023	545566	1	0	0	5
Я говорю про физ. лицо	9367264	1	0	0	5
растаможка в рф вне киргизии	18171428	1	0	0	5
Добрый день! У меня вопрос	3076974	1	0	0	5
амортизационная группа Аппарат плазменнойрезки ?	3198921	1	0	0	5
добрый день! у нас вопрос	2814108	1	0	0	5
Есть ли жизнь на марсе?	6719353	1	0	0	5
Некорректный ответ. Акционеров более 50.	11843905	1	0	0	5
добрый день у меня вопрос	4948954	1	0	0	5
отчетность за 1 кв 2024	10735153	1	0	0	5
производственная характеристика для мсэ бланк	18774197	1	0	0	5
Добрый день! Подскажите,пожалуйста,ОКПДТР электрика участка.	2811824	1	0	0	5
Здравствуйте! Форма путевого листа для Камаза	11652831	1	0	0	6
инстукция ппри работе в замкнутых пространствах	196895	1	0	0	6
Справочник за 1 кв 24 года	5860376	1	0	0	6
сервис подбора ответа на требование налоговиков	182215	1	0	0	6
Здравствуйте! Задала вопрсо эксперту письменно 4152593	14338822	1	0	0	6
Здравствуйте, Оксана, выше - мой вопрос	19020491	1	0	0	6
Какой лимит по самозанятым в 2024	9762037	1	0	0	6
как провести риск-анализ договора оказания услуг	9794122	1	0	0	6
ранее я обращалась в прошлом году	309836	1	0	0	6
добрый день! Как подать уточненный баланс?	221632	1	0	0	6
как посмотреть публикации добавленные в избранное	8517295	1	0	0	6
Добрый день! условия для проведения зачета	4451331	1	0	0	6
Добрый день! По информации нужны уточнения.	5028941	1	0	0	6
А для налога на прибыль уменьшает???	4176807	1	0	0	6
форма ефс-1 за 1 квартал 2024	3795986	1	0	0	6
письмо Ифнс от 01.04.2024 ХА -01-01/01042024	3757977	1	0	0	6
как пользоваться системой на другом компьютере?	18284974	1	0	0	6
оплата с карты ип за физлицо	2290536	1	0	0	6
проводки по акциям в бух учете	21224750	1	0	0	6
как после выездной проверки удерживают штрафы	11276488	1	0	0	6
можно опись вложения в ценное письмо	763765	1	0	0	6
вид платежа 3140 в таможенной декларации	2501636	1	0	0	6
как провести справку о временной нетрудоспособности	1812414	1	0	0	6
изменения в кадрах в 2024 году	1995416	1	0	0	6
можно ли аннулировать ошибочно полученный патент?	5863340	1	0	0	6
кто должен выдавать направление на медосмотры?	20411137	1	0	0	6
какой адрес указывать в упд грузополучатель	21234087	1	0	0	6
Прошу описать риски трудоустройства несовершеннолетних сотрудников	6423189	1	0	0	6
доставка питьевой воды для сотрудников проводки?	9367264	1	0	0	6
У меня есть еще один вопрос	17086887	1	0	0	6
Добрый день! Исходя из вашего ответа:	8825586	1	0	0	6
Здравствуйте, нужна информация по учету ВЭД.	8644659	1	0	0	6
Вредные условия труда входят в МРОТ?	4524430	1	0	0	6
как списать логотип пришитый к одежде	5357296	1	0	0	6
Сколько по времени регистрация ООО занимает	21776921	1	0	0	6
Каким образом филиал выписыват счета фактуры?	1624445	1	0	0	6
отчетность за 1 квартал 2024 года	21745634	1	0	0	6
Здравствуйте.сроки сдачи отчетности за 1 квартал	227460	1	0	0	6
Добрый день, агентский договор в бу	14955962	1	0	0	6
нужно ли продлевать статус неплательщика ндс	19348957	1	0	0	6
нет вы не ответили на вопрос	5855420	1	0	0	6
"Добрый день.

Как начислять налог на имущество"	4226666	1	0	0	6
моющие средства и средства для уборки	421115	1	0	0	6
Добрый день! амортизационная группа Аппарат пескодробеструйный?	3198921	1	0	0	6
Здравствуйте, штраф от банка уменьшает прибыль?	17667120	1	0	0	6
Какие санкции за несвоевременную сдачу уведомлений	257817	1	0	0	6
как посчитать среднюю численность для патента	739243	1	0	0	6
здравствуйте, какой окоф установить котел газовый	21519647	1	0	0	6
Покупка и продажа прослеживаемого основного средства	3390231	1	0	0	6
Большое спасибо за помощь, информация полезна.	3805424	1	0	0	6
как мне связать с нашим менеджером?	17495061	1	0	0	6
а отправлять приставам заказным письмом надо?	18025810	1	0	0	6
добрый день могу узнать пароль входа?	20507257	1	0	0	6
Добрый вечер! Отчетность за 1 кв.2024	905805	1	0	0	6
